STEPS_PER_ACTION	GOOMBA_RANGE	KOOPA_RANGE	RUN_SCORE	RUN_TIME	STEPS	X_POS
8	45	75	167.0	2.2395396	146	230
8	40	75	167.0	2.0807578	146	230
8	35	60	167.0	2.1951223	146	230
8	35	75	167.0	2.1938155	146	230
8	35	70	167.0	2.2036906	146	230
8	35	65	167.0	2.6521945	146	230
8	30	70	167.0	2.1674285	146	230
8	30	75	167.0	2.1782399	146	230
8	30	65	167.0	2.2781649	146	230
7	45	60	167.0	2.3415133	146	230
7	50	65	167.0	2.4238957	146	230
7	50	60	167.0	2.4231512	146	230
7	50	70	167.0	2.4191525	146	230
7	45	75	167.0	2.2583752	146	230
7	45	70	167.0	2.2813632	146	230
7	45	65	167.0	2.3277199	146	230
7	40	65	167.0	2.3398101	146	230
7	40	70	167.0	2.3135015	146	230
7	40	60	167.0	2.2718235	146	230
7	50	80	167.0	2.2538409	146	230
7	45	80	167.0	2.2775683	146	230
7	50	75	167.0	2.2935098	146	230
7	40	80	167.0	2.2785046	146	230
7	40	75	167.0	2.2774887	146	230
6	35	75	167.0	2.5080897	146	230
6	30	80	167.0	2.5678424	146	230
6	35	70	167.0	2.8369041	146	230
6	30	70	167.0	2.5933701	146	230
6	45	70	167.0	2.6151613	146	230
6	30	75	167.0	2.6385619	146	230
6	35	80	167.0	2.685349	146	230
6	35	65	167.0	2.8119301	146	230
6	35	60	167.0	2.8073681	146	230
6	40	70	167.0	2.6506451	146	230
6	50	60	167.0	2.8173582	146	230
6	40	60	167.0	2.8612779	146	230
6	45	60	167.0	2.8348599	146	230
5	35	65	167.0	3.0621734	146	230
5	35	80	167.0	3.0562501	146	230
5	55	70	167.0	3.1898415	146	230
5	50	70	167.0	3.1945151	146	230
5	35	70	167.0	3.2151347	146	230
5	30	65	167.0	3.0671072	146	230
5	35	75	167.0	3.1067614	146	230
5	55	75	167.0	3.0489789	146	230
5	30	80	167.0	3.0674961	146	230
5	55	80	167.0	3.0608615	146	230
5	30	75	167.0	3.1017862	146	230
5	50	75	167.0	3.2916368	146	230
5	50	80	167.0	3.2458318	146	230
5	30	70	167.0	3.2714794	146	230
5	40	65	167.0	3.2366327	146	230
5	50	55	167.0	3.2605601	146	230
5	30	60	167.0	3.2672312	146	230
5	50	65	167.0	3.072612	146	230
5	55	65	167.0	3.2671213	146	230
5	30	50	167.0	3.220761	146	230
5	45	65	167.0	3.266466	146	230
5	45	55	167.0	3.2649003	146	230
5	40	55	167.0	3.1993944	146	230
4	40	50	167.0	3.9246613	146	230
4	45	60	167.0	3.9267789	146	230
4	45	75	167.0	3.9309412	146	230
4	45	70	167.0	3.9152778	146	230
4	40	70	167.0	3.9712304	146	230
4	45	65	167.0	3.9355027	146	230
4	45	50	167.0	3.9642979	146	230
4	40	65	167.0	3.9210821	146	230
4	45	55	167.0	4.0329024	146	230
4	40	75	167.0	3.7145059	146	230
4	40	55	167.0	3.7591962	146	230
4	40	60	167.0	3.9191349	146	230
4	30	40	167.0	3.948266	146	230
4	40	45	167.0	3.9344074	146	230
4	30	50	167.0	3.9514982	146	230
