STEPS_PER_ACTION	GOOMBA_RANGE	KOOPA_RANGE	RUN_SCORE	RUN_TIME	STEPS
8.000000000000000000e+00	4.500000000000000000e+01	7.500000000000000000e+01	3.016000000000000000e+03	4.907000000000000028e+01	2.113000000000000000e+03
8.000000000000000000e+00	4.000000000000000000e+01	7.500000000000000000e+01	3.014000000000000000e+03	4.953099999999999881e+01	2.145000000000000000e+03
8.000000000000000000e+00	3.500000000000000000e+01	6.000000000000000000e+01	3.014000000000000000e+03	4.959700000000000131e+01	2.145000000000000000e+03
8.000000000000000000e+00	3.500000000000000000e+01	7.500000000000000000e+01	3.014000000000000000e+03	4.977600000000000335e+01	2.145000000000000000e+03
8.000000000000000000e+00	3.500000000000000000e+01	7.000000000000000000e+01	3.014000000000000000e+03	4.981300000000000239e+01	2.145000000000000000e+03
8.000000000000000000e+00	3.500000000000000000e+01	6.500000000000000000e+01	3.014000000000000000e+03	4.984400000000000119e+01	2.145000000000000000e+03
8.000000000000000000e+00	3.000000000000000000e+01	7.000000000000000000e+01	3.011000000000000000e+03	5.185799999999999699e+01	2.218000000000000000e+03
8.000000000000000000e+00	3.000000000000000000e+01	7.500000000000000000e+01	3.011000000000000000e+03	5.203000000000000114e+01	2.218000000000000000e+03
8.000000000000000000e+00	3.000000000000000000e+01	6.500000000000000000e+01	3.009000000000000000e+03	5.207600000000000051e+01	2.258000000000000000e+03
7.000000000000000000e+00	4.500000000000000000e+01	6.000000000000000000e+01	3.009000000000000000e+03	5.643699999999999761e+01	2.239000000000000000e+03
7.000000000000000000e+00	5.000000000000000000e+01	6.500000000000000000e+01	3.009000000000000000e+03	5.647399999999999665e+01	2.239000000000000000e+03
7.000000000000000000e+00	5.000000000000000000e+01	6.000000000000000000e+01	3.009000000000000000e+03	5.652499999999999858e+01	2.239000000000000000e+03
7.000000000000000000e+00	5.000000000000000000e+01	7.000000000000000000e+01	3.009000000000000000e+03	5.653300000000000125e+01	2.239000000000000000e+03
7.000000000000000000e+00	4.500000000000000000e+01	7.500000000000000000e+01	3.010000000000000000e+03	5.661500000000000199e+01	2.232000000000000000e+03
7.000000000000000000e+00	4.500000000000000000e+01	7.000000000000000000e+01	3.009000000000000000e+03	5.664800000000000324e+01	2.239000000000000000e+03
7.000000000000000000e+00	4.500000000000000000e+01	6.500000000000000000e+01	3.009000000000000000e+03	5.680899999999999750e+01	2.239000000000000000e+03
7.000000000000000000e+00	4.000000000000000000e+01	6.500000000000000000e+01	3.009000000000000000e+03	5.686200000000000188e+01	2.239000000000000000e+03
7.000000000000000000e+00	4.000000000000000000e+01	7.000000000000000000e+01	3.009000000000000000e+03	5.686299999999999955e+01	2.239000000000000000e+03
7.000000000000000000e+00	4.000000000000000000e+01	6.000000000000000000e+01	3.009000000000000000e+03	5.691299999999999670e+01	2.239000000000000000e+03
7.000000000000000000e+00	5.000000000000000000e+01	8.000000000000000000e+01	3.010000000000000000e+03	5.694899999999999807e+01	2.232000000000000000e+03
7.000000000000000000e+00	4.500000000000000000e+01	8.000000000000000000e+01	3.010000000000000000e+03	5.699399999999999977e+01	2.232000000000000000e+03
7.000000000000000000e+00	5.000000000000000000e+01	7.500000000000000000e+01	3.010000000000000000e+03	5.699699999999999989e+01	2.232000000000000000e+03
7.000000000000000000e+00	4.000000000000000000e+01	8.000000000000000000e+01	3.010000000000000000e+03	5.715999999999999659e+01	2.232000000000000000e+03
7.000000000000000000e+00	4.000000000000000000e+01	7.500000000000000000e+01	3.010000000000000000e+03	5.741499999999999915e+01	2.232000000000000000e+03
6.000000000000000000e+00	3.500000000000000000e+01	7.500000000000000000e+01	3.016000000000000000e+03	5.990100000000000335e+01	2.101000000000000000e+03
6.000000000000000000e+00	3.000000000000000000e+01	8.000000000000000000e+01	3.016000000000000000e+03	5.996000000000000085e+01	2.101000000000000000e+03
6.000000000000000000e+00	3.500000000000000000e+01	7.000000000000000000e+01	3.016000000000000000e+03	5.996500000000000341e+01	2.101000000000000000e+03
6.000000000000000000e+00	3.000000000000000000e+01	7.000000000000000000e+01	3.016000000000000000e+03	6.003499999999999659e+01	2.101000000000000000e+03
6.000000000000000000e+00	4.500000000000000000e+01	7.000000000000000000e+01	3.015000000000000000e+03	6.011500000000000199e+01	2.131000000000000000e+03
6.000000000000000000e+00	3.000000000000000000e+01	7.500000000000000000e+01	3.016000000000000000e+03	6.018299999999999983e+01	2.101000000000000000e+03
6.000000000000000000e+00	3.500000000000000000e+01	8.000000000000000000e+01	3.016000000000000000e+03	6.025900000000000034e+01	2.101000000000000000e+03
6.000000000000000000e+00	3.500000000000000000e+01	6.500000000000000000e+01	3.016000000000000000e+03	6.061200000000000188e+01	2.101000000000000000e+03
6.000000000000000000e+00	3.500000000000000000e+01	6.000000000000000000e+01	3.016000000000000000e+03	6.067799999999999727e+01	2.101000000000000000e+03
6.000000000000000000e+00	4.000000000000000000e+01	7.000000000000000000e+01	3.014000000000000000e+03	6.124499999999999744e+01	2.154000000000000000e+03
6.000000000000000000e+00	5.000000000000000000e+01	6.000000000000000000e+01	3.013000000000000000e+03	6.170700000000000074e+01	2.173000000000000000e+03
6.000000000000000000e+00	4.000000000000000000e+01	6.000000000000000000e+01	3.013000000000000000e+03	6.193399999999999750e+01	2.173000000000000000e+03
6.000000000000000000e+00	4.500000000000000000e+01	6.000000000000000000e+01	3.013000000000000000e+03	6.199199999999999733e+01	2.173000000000000000e+03
5.000000000000000000e+00	3.500000000000000000e+01	6.500000000000000000e+01	3.019000000000000000e+03	6.887999999999999545e+01	2.052000000000000000e+03
5.000000000000000000e+00	3.500000000000000000e+01	8.000000000000000000e+01	3.019000000000000000e+03	6.894700000000000273e+01	2.052000000000000000e+03
5.000000000000000000e+00	5.500000000000000000e+01	7.000000000000000000e+01	3.017000000000000000e+03	6.895499999999999829e+01	2.086000000000000000e+03
5.000000000000000000e+00	5.000000000000000000e+01	7.000000000000000000e+01	3.017000000000000000e+03	6.899099999999999966e+01	2.086000000000000000e+03
5.000000000000000000e+00	3.500000000000000000e+01	7.000000000000000000e+01	3.019000000000000000e+03	6.902899999999999636e+01	2.052000000000000000e+03
5.000000000000000000e+00	3.000000000000000000e+01	6.500000000000000000e+01	3.019000000000000000e+03	6.903100000000000591e+01	2.052000000000000000e+03
5.000000000000000000e+00	3.500000000000000000e+01	7.500000000000000000e+01	3.019000000000000000e+03	6.906399999999999295e+01	2.052000000000000000e+03
5.000000000000000000e+00	5.500000000000000000e+01	7.500000000000000000e+01	3.017000000000000000e+03	6.909099999999999397e+01	2.086000000000000000e+03
5.000000000000000000e+00	3.000000000000000000e+01	8.000000000000000000e+01	3.019000000000000000e+03	6.911100000000000421e+01	2.052000000000000000e+03
5.000000000000000000e+00	5.500000000000000000e+01	8.000000000000000000e+01	3.017000000000000000e+03	6.914199999999999591e+01	2.086000000000000000e+03
5.000000000000000000e+00	3.000000000000000000e+01	7.500000000000000000e+01	3.019000000000000000e+03	6.918000000000000682e+01	2.052000000000000000e+03
5.000000000000000000e+00	5.000000000000000000e+01	7.500000000000000000e+01	3.017000000000000000e+03	6.918999999999999773e+01	2.086000000000000000e+03
5.000000000000000000e+00	5.000000000000000000e+01	8.000000000000000000e+01	3.017000000000000000e+03	6.926399999999999579e+01	2.086000000000000000e+03
5.000000000000000000e+00	3.000000000000000000e+01	7.000000000000000000e+01	3.019000000000000000e+03	6.932800000000000296e+01	2.052000000000000000e+03
5.000000000000000000e+00	4.000000000000000000e+01	6.500000000000000000e+01	3.016000000000000000e+03	6.992400000000000659e+01	2.100000000000000000e+03
5.000000000000000000e+00	5.000000000000000000e+01	5.500000000000000000e+01	3.015000000000000000e+03	6.999200000000000443e+01	2.122000000000000000e+03
5.000000000000000000e+00	3.000000000000000000e+01	6.000000000000000000e+01	3.016000000000000000e+03	7.009900000000000375e+01	2.109000000000000000e+03
5.000000000000000000e+00	5.000000000000000000e+01	6.500000000000000000e+01	3.014000000000000000e+03	7.023900000000000432e+01	2.142000000000000000e+03
5.000000000000000000e+00	5.500000000000000000e+01	6.500000000000000000e+01	3.014000000000000000e+03	7.026300000000000523e+01	2.142000000000000000e+03
5.000000000000000000e+00	3.000000000000000000e+01	5.000000000000000000e+01	3.015000000000000000e+03	7.063700000000000045e+01	2.126000000000000000e+03
5.000000000000000000e+00	4.500000000000000000e+01	6.500000000000000000e+01	3.016000000000000000e+03	7.064400000000000546e+01	2.100000000000000000e+03
5.000000000000000000e+00	4.500000000000000000e+01	5.500000000000000000e+01	3.013000000000000000e+03	7.098399999999999466e+01	2.161000000000000000e+03
5.000000000000000000e+00	4.000000000000000000e+01	5.500000000000000000e+01	3.014000000000000000e+03	7.197899999999999920e+01	2.152000000000000000e+03
4.000000000000000000e+00	4.000000000000000000e+01	5.000000000000000000e+01	3.021000000000000000e+03	8.106999999999999318e+01	2.013000000000000000e+03
4.000000000000000000e+00	4.500000000000000000e+01	6.000000000000000000e+01	3.021000000000000000e+03	8.129200000000000159e+01	2.013000000000000000e+03
4.000000000000000000e+00	4.500000000000000000e+01	7.500000000000000000e+01	3.021000000000000000e+03	8.130299999999999727e+01	2.013000000000000000e+03
4.000000000000000000e+00	4.500000000000000000e+01	7.000000000000000000e+01	3.021000000000000000e+03	8.135399999999999920e+01	2.013000000000000000e+03
4.000000000000000000e+00	4.000000000000000000e+01	7.000000000000000000e+01	3.021000000000000000e+03	8.136199999999999477e+01	2.013000000000000000e+03
4.000000000000000000e+00	4.500000000000000000e+01	6.500000000000000000e+01	3.021000000000000000e+03	8.151099999999999568e+01	2.013000000000000000e+03
4.000000000000000000e+00	4.500000000000000000e+01	5.000000000000000000e+01	3.021000000000000000e+03	8.152800000000000580e+01	2.013000000000000000e+03
4.000000000000000000e+00	4.000000000000000000e+01	6.500000000000000000e+01	3.021000000000000000e+03	8.184799999999999898e+01	2.013000000000000000e+03
4.000000000000000000e+00	4.500000000000000000e+01	5.500000000000000000e+01	3.021000000000000000e+03	8.305400000000000205e+01	2.013000000000000000e+03
4.000000000000000000e+00	4.000000000000000000e+01	7.500000000000000000e+01	3.021000000000000000e+03	8.323900000000000432e+01	2.013000000000000000e+03
4.000000000000000000e+00	4.000000000000000000e+01	5.500000000000000000e+01	3.021000000000000000e+03	8.548300000000000409e+01	2.013000000000000000e+03
4.000000000000000000e+00	4.000000000000000000e+01	6.000000000000000000e+01	3.021000000000000000e+03	8.686899999999999977e+01	2.013000000000000000e+03
4.000000000000000000e+00	3.000000000000000000e+01	4.000000000000000000e+01	3.020000000000000000e+03	8.862800000000000011e+01	2.026000000000000000e+03
4.000000000000000000e+00	4.000000000000000000e+01	4.500000000000000000e+01	3.018000000000000000e+03	8.869100000000000250e+01	2.078000000000000000e+03
4.000000000000000000e+00	3.000000000000000000e+01	5.000000000000000000e+01	3.019000000000000000e+03	8.874399999999999977e+01	2.053000000000000000e+03
