STEPS_PER_ACTION	GOOMBA_RANGE	KOOPA_RANGE	RUN_SCORE	RUN_TIME	STEPS
4	30	30	1551.0	43.1987951	939
4	30	35	1549.0	43.6821045	981
4	30	40	3020.0	88.6276649	2026
4	30	45	1547.0	42.3873574	941
4	30	50	3019.0	88.7435415	2053
4	30	55	1849.0	49.3729736	1151
4	30	60	1849.0	48.3143547	1151
4	30	65	1849.0	48.5739654	1151
4	30	70	1849.0	48.8658015	1151
4	30	75	1849.0	48.1958789	1151
4	30	80	1534.0	40.4943779	963
4	35	30	1548.0	42.8624852	1035
4	35	35	1549.0	41.1154985	981
4	35	40	1547.0	41.4880126	1005
4	35	45	1687.0	46.9269185	1123
4	35	50	1849.0	47.731612	1151
4	35	55	1849.0	59.3910815	1151
4	35	60	1849.0	48.4671356	1151
4	35	65	1849.0	47.7942196	1151
4	35	70	1849.0	47.5973179	1151
4	35	75	1849.0	47.7434416	1151
4	35	80	1534.0	40.0998488	963
4	40	30	1548.0	42.7596415	1035
4	40	35	1549.0	41.9550813	1017
4	40	40	1547.0	41.4701401	1005
4	40	45	3018.0	88.6910295	2078
4	40	50	3021.0	81.0695916	2013
4	40	55	3021.0	85.4832876	2013
4	40	60	3021.0	86.8692108	2013
4	40	65	3021.0	81.8480949	2013
4	40	70	3021.0	81.3615619	2013
4	40	75	3021.0	83.2385716	2013
4	40	80	1534.0	42.9468954	1003
4	45	30	1548.0	44.6580551	1035
4	45	35	1549.0	43.1137121	1017
4	45	40	1547.0	41.6501995	1005
4	45	45	1888.0	51.0959367	1241
4	45	50	3021.0	81.5284383	2013
4	45	55	3021.0	83.0544237	2013
4	45	60	3021.0	81.2915525	2013
4	45	65	3021.0	81.5110426	2013
4	45	70	3021.0	81.3535461	2013
4	45	75	3021.0	81.3029153	2013
4	45	80	1534.0	42.5297715	1003
4	50	30	1548.0	43.0460891	1035
4	50	35	1549.0	42.0155893	1017
4	50	40	1547.0	41.7823087	1005
4	50	45	1888.0	50.7326386	1241
4	50	50	1889.0	50.0475491	1215
4	50	55	1889.0	49.7608522	1215
4	50	60	1889.0	50.0994204	1215
4	50	65	1889.0	49.8945413	1215
4	50	70	1889.0	50.0476262	1215
4	50	75	1889.0	50.061455	1215
4	50	80	1534.0	41.6455278	1003
4	55	30	231.0	8.9281439	215
4	55	35	231.0	6.982433	159
4	55	40	231.0	6.9449054	159
4	55	45	231.0	6.9920421	159
4	55	50	231.0	6.9161906	159
4	55	55	231.0	6.9780461	159
4	55	60	231.0	6.9416506	159
4	55	65	231.0	6.9353032	159
4	55	70	231.0	6.9774643	159
4	55	75	231.0	6.9926596	159
4	55	80	231.0	6.9808988	159
4	60	30	231.0	6.9148009	159
