episode,reward,steps
1,469,65
2,467,65
3,467,65
4,230,34
5,233,35
6,229,35
7,462,64
8,462,64
9,233,35
10,462,64
11,231,36
12,233,35
13,462,64
14,233,35
15,233,35
16,233,35
17,233,35
18,233,35
19,229,35
20,233,35
21,233,35
22,229,35
23,233,35
24,229,37
25,467,65
26,229,35
27,462,64
28,456,70
29,233,35
30,233,35
31,232,38
32,233,35
33,554,86
34,232,38
35,462,64
36,233,35
37,462,64
38,469,65
39,233,35
40,467,65
41,462,64
42,233,35
43,462,64
44,441,61
45,467,65
46,232,38
47,233,35
48,233,35
49,462,64
50,467,65
51,233,35
52,229,35
53,462,64
54,232,38
55,233,35
56,233,35
57,462,64
58,229,35
59,233,35
60,233,35
61,233,35
62,467,65
63,233,35
64,456,70
65,233,35
66,462,64
67,229,35
68,233,35
69,454,65
70,233,35
71,229,35
72,467,65
73,462,64
74,451,63
75,233,35
