STEPS_PER_ACTION	GOOMBA_RANGE	KOOPA_RANGE	RUN_SCORE	RUN_TIME	STEPS
4	30	30	1551.0	49.2087777	939
4	30	35	1549.0	44.1806725	981
4	30	40	3020.0	87.7911161	2026
4	30	45	1547.0	40.4155735	941
4	30	50	3019.0	83.7034373	2053
4	30	55	1849.0	48.9362605	1151
4	30	60	1849.0	48.5799513	1151
4	30	65	1849.0	48.3796673	1151
4	30	70	1849.0	49.3679842	1151
4	30	75	1849.0	60.4927489	1151
4	30	80	1534.0	44.8466809	963
4	35	30	1548.0	45.1782615	1035
4	35	35	1549.0	42.4949972	981
4	35	40	1547.0	44.1699195	1005
4	35	45	1687.0	48.2136198	1123
4	35	50	1849.0	49.931743	1151
4	35	55	1849.0	49.0816763	1151
4	35	60	1849.0	47.8332603	1151
4	35	65	1849.0	47.9984815	1151
4	35	70	1849.0	47.9638287	1151
4	35	75	1849.0	47.8448123	1151
4	35	80	1534.0	40.696907	963
4	40	30	1548.0	42.8989971	1035
4	40	35	1549.0	43.3669375	1017
4	40	40	1547.0	40.8276383	1005
4	40	45	3018.0	82.9621355	2078
4	40	50	3021.0	81.9500822	2013
4	40	55	3021.0	81.4637569	2013
4	40	60	3021.0	83.7468799	2013
4	40	65	3021.0	80.7079426	2013
4	40	70	3021.0	81.6195517	2013
4	40	75	3021.0	81.0773733	2013
4	40	80	1534.0	41.3516162	1003
4	45	30	1548.0	42.6376961	1035
4	45	35	1549.0	41.6851483	1017
4	45	40	1547.0	41.0514469	1005
4	45	45	1888.0	51.1658449	1241
4	45	50	3021.0	80.6987218	2013
4	45	55	3021.0	80.5286193	2013
4	45	60	3021.0	80.0418778	2013
4	45	65	3021.0	80.7381102	2013
4	45	70	3021.0	80.4624854	2013
4	45	75	3021.0	83.0857977	2013
4	45	80	1534.0	42.8809804	1003
4	50	30	1548.0	44.5542964	1035
4	50	35	1549.0	44.5767017	1017
4	50	40	1547.0	49.5029809	1005
4	50	45	1888.0	66.4578359	1241
4	50	50	1889.0	79.240471	1215
4	50	55	1889.0	62.1176515	1215
4	50	60	1889.0	53.3914396	1215
4	50	65	1889.0	54.1701268	1215
4	50	70	1889.0	58.9036685	1215
4	50	75	1889.0	58.2279269	1215
4	50	80	1534.0	45.7781127	1003
4	55	30	231.0	13.0685542	215
4	55	35	231.0	8.0241888	159
4	55	40	231.0	8.3935626	159
4	55	45	231.0	10.0312828	159
4	55	50	231.0	9.7879623	159
4	55	55	231.0	8.3803812	159
4	55	60	231.0	9.7592815	159
4	55	65	231.0	9.2561114	159
4	55	70	231.0	8.8872529	159
4	55	75	231.0	9.8622173	159
4	55	80	231.0	7.8384446	159
4	60	30	231.0	9.7950107	159
4	60	35	231.0	8.5246714	159
4	60	40	231.0	8.4953356	159
4	60	45	231.0	9.6092579	159
4	60	50	231.0	8.656086	159
4	60	55	231.0	10.8567573	159
4	60	60	231.0	10.4137437	159
4	60	65	231.0	10.5929964	159
4	60	70	231.0	8.0068215	159
4	60	75	231.0	10.4296022	159
4	60	80	231.0	11.7598182	159
4	65	30	231.0	9.9810747	159
4	65	35	231.0	10.7486858	159
4	65	40	231.0	11.5416974	159
4	65	45	231.0	9.7388654	159
4	65	50	231.0	9.0567965	159
4	65	55	231.0	8.8749777	159
4	65	60	231.0	8.6605879	159
4	65	65	231.0	10.2250975	159
4	65	70	231.0	9.1864603	159
4	65	75	231.0	9.651135	159
4	65	80	231.0	10.6106374	159
4	70	30	231.0	11.635582	159
4	70	35	231.0	13.6700983	159
