STEPS_PER_ACTION	GOOMBA_RANGE	KOOPA_RANGE	RUN_SCORE	RUN_TIME	STEPS	X_POS
8	45	75	586.0	11.4708337	489	666
8	40	75	586.0	11.5157124	489	666
8	35	60	586.0	11.0195346	489	666
8	35	75	586.0	11.4893479	489	666
8	35	70	586.0	11.5316887	489	666
8	35	65	586.0	11.5306441	489	666
8	30	70	586.0	11.1624001	489	666
8	30	75	586.0	11.7993551	489	666
8	30	65	586.0	11.4949844	489	666
7	45	60	583.0	10.8772907	469	663
7	50	65	579.0	11.8856458	481	658
7	50	60	102.0	3.9737377	147	165
7	50	70	583.0	11.0308885	469	663
7	45	75	579.0	11.9537177	481	658
7	45	70	581.0	13.1429994	521	664
7	45	65	1009.0	26.7463283	1051	1117
7	40	65	583.0	10.9788819	469	663
7	40	70	792.0	19.1486257	759	884
7	40	60	581.0	13.1273546	521	664
7	50	80	575.0	13.1017588	543	657
7	45	80	544.0	14.2508032	567	627
7	50	75	583.0	11.0651056	469	663
7	40	80	792.0	19.8253894	759	884
7	40	75	581.0	13.2351259	521	664
6	35	75	554.0	15.6715385	569	638
6	30	80	562.0	15.8615966	591	646
6	35	70	565.0	13.9435204	501	645
6	30	70	564.0	16.9474273	539	645
6	45	70	121.0	4.6035735	117	183
6	30	75	781.0	28.239389	707	871
6	35	80	121.0	3.9326546	117	183
6	35	65	781.0	19.9861494	707	871
6	35	60	121.0	3.6197629	117	183
6	40	70	557.0	14.0808771	485	637
6	50	60	120.0	2.8057523	93	180
6	40	60	795.0	19.5021318	653	882
6	45	60	91.0	4.2469001	137	153
5	35	65	568.0	15.7847716	477	646
5	35	80	568.0	15.4918824	477	646
5	55	70	783.0	23.5686581	733	874
5	50	70	564.0	14.544226	435	640
5	35	70	567.0	17.7213347	505	648
5	30	65	795.0	20.1891407	595	879
5	35	75	388.0	11.6641856	357	462
5	55	75	783.0	23.9174985	733	874
5	30	80	564.0	14.8138975	435	640
5	55	80	392.0	12.6371848	389	467
5	30	75	786.0	24.4886762	689	875
5	50	75	392.0	12.760385	359	466
5	50	80	768.0	25.0967448	755	860
5	30	70	393.0	12.3375692	379	467
5	40	65	568.0	15.8749029	477	646
5	50	55	1025.0	34.8000593	907	1126
5	30	60	786.0	25.0964337	689	875
5	50	65	392.0	11.7587896	359	466
5	55	65	783.0	23.7037809	733	874
5	30	50	795.0	20.7361516	595	879
5	45	65	572.0	14.6424873	435	648
5	45	55	795.0	20.3855151	595	879
5	40	55	786.0	21.3654717	625	872
4	40	50	560.0	18.0818355	445	637
4	45	60	111.0	5.8081527	131	174
4	45	75	395.0	13.054724	337	467
4	45	70	395.0	12.9388426	337	467
4	40	70	395.0	13.1524321	337	467
4	45	65	395.0	13.0538333	337	467
4	45	50	395.0	13.1179593	337	467
4	40	65	395.0	14.0830746	337	467
4	45	55	395.0	13.4557285	337	467
4	40	75	395.0	13.3350488	337	467
4	40	55	395.0	13.4846938	337	467
4	40	60	395.0	13.4675261	337	467
4	30	40	395.0	13.5704325	337	467
4	40	45	395.0	13.2934278	337	467
4	30	50	395.0	13.1662748	337	467
