episode,reward,steps
1,323,162
2,348,132
3,530,376
4,904,1182
5,1187,718
6,636,332
7,338,156
8,322,166
9,331,156
10,465,188
11,339,136
12,916,691
13,336,138
14,453,244
15,338,138
16,335,146
17,331,146
18,337,152
19,348,132
20,450,244
21,530,352
22,331,154
23,333,152
24,455,202
25,1615,1376
26,322,172
27,331,150
28,643,302
29,338,146
30,455,220
31,462,178
32,338,146
33,324,160
34,441,212
35,453,202
36,339,144
37,843,482
38,343,130
39,476,174
40,330,142
41,329,154
42,439,266
43,334,144
44,338,152
45,644,322
46,338,156
47,338,134
48,335,140
49,327,156
50,449,250
51,338,150
52,530,564
53,921,430
54,451,232
55,440,222
56,334,144
57,457,202
58,338,150
59,636,450
60,340,154
61,336,140
62,340,148
63,338,146
64,337,144
65,637,360
66,643,388
67,331,142
68,325,152
69,1359,1752
70,604,316
71,338,138
72,338,148
73,722,722
74,452,220
75,337,154
